P/E;ROR5;D/E;SALESGR5;EPS5;NMP1;PAYOUTR1
9,0;13,0;0,7;20,2;15,5;7,2;0,43
8,0;13,0;0,7;17,2;12,7;7,3;0,38
8,0;13,0;0,4;14,5;15,1;7,9;0,41
9,0;12,2;0,2;12,9;11,1;5,4;0,57
5,0;10,0;0,4;13,6;8,0;6,7;0,32
6,0;9,8;0,5;12,1;14,5;3,8;0,51
10,0;9,9;0,5;10,2;7,0;4,8;0,38
9,0;10,3;0,3;11,4;8,7;4,5;0,48
11,0;9,5;0,4;13,5;5,9;3,5;0,57
9,0;9,9;0,4;12,1;4,2;4,6;0,49
7,0;7,9;0,4;10,8;16,0;3,4;0,49
7,0;7,3;0,6;15,4;4,9;5,1;0,27
7,0;7,8;0,4;11,0;3,0;5,6;0,32
10,0;6,5;0,4;18,7;-3,1;1,3;0,38
13,0;24,9;0,0;16,2;16,9;12,5;0,32
14,0;24,6;0,0;16,1;16,9;11,2;0,47
5,0;14,9;1,1;13,7;48,9;5,8;0,10
6,0;13,8;0,6;20,9;36,0;10,9;0,16
10,0;13,5;0,5;14,3;16,0;8,4;0,40
12,0;14,9;0,3;29,1;22,8;4,9;0,36
14,0;15,4;0,3;15,2;15,1;21,9;0,23
13,0;11,6;0,4;18,7;22,1;8,1;0,20
12,0;14,2;0,2;16,7;18,7;8,2;0,37
12,0;13,8;0,1;12,6;18,0;5,6;0,34
7,0;12,0;0,5;15,0;14,9;3,6;0,36
7,0;11,0;0,3;12,8;10,8;5,0;0,34
6,0;13,8;0,2;14,9;9,6;4,4;0,31
12,0;11,5;0,4;15,4;11,7;7,2;0,51
9,0;6,4;0,7;16,1;-2,8;6,8;0,22
14,0;3,8;0,6;6,8;-11,1;0,9;1,00
